[[0. 0. 0. 1. 0. 0. 0.]
 [0. 0. 0. 1. 0. 0. 0.]
 [0. 0. 0. 1. 0. 0. 0.]
 [1. 1. 1. 1. 1. 1. 1.]
 [0. 0. 0. 1. 0. 0. 0.]
 [0. 0. 0. 1. 0. 0. 0.]
 [0. 0. 0. 1. 0. 0. 0.]]
(50_w,100)-aCMA-ES (mu_w=27.0,w_1=8%) in dimension 180 (seed=355736, Wed Sep 25 12:52:25 2024)
G:0, BEST PARAMS, BEST REWARD: -0.18586929003197183, CURRENT REWARD: -0.18586929003197183
G:1, BEST PARAMS, BEST REWARD: -0.16565768544844064, CURRENT REWARD: -0.16565768544844064
G:2, BEST PARAMS, BEST REWARD: -0.14525001808694193, CURRENT REWARD: -0.14525001808694193
G:3, BEST PARAMS, BEST REWARD: -0.14525001808694193, CURRENT REWARD: -0.14525001808694193
G:4, BEST PARAMS, BEST REWARD: -0.14525001808694193, CURRENT REWARD: -0.14525001808694193
G:5, BEST PARAMS, BEST REWARD: -0.14525001808694193, CURRENT REWARD: -0.14525001808694193
G:6, BEST PARAMS, BEST REWARD: -0.14525001808694193, CURRENT REWARD: -0.14525001808694193
G:7, BEST PARAMS, BEST REWARD: -0.14525001808694193, CURRENT REWARD: -0.14525001808694193
G:8, BEST PARAMS, BEST REWARD: -0.12550801289668315, CURRENT REWARD: -0.12550801289668315
G:9, BEST PARAMS, BEST REWARD: -0.12550801289668315, CURRENT REWARD: -0.12550801289668315
G:10, BEST PARAMS, BEST REWARD: -0.12550801289668315, CURRENT REWARD: -0.12550801289668315
G:11, BEST PARAMS, BEST REWARD: -0.12550801289668315, CURRENT REWARD: -0.12550801289668315
G:12, BEST PARAMS, BEST REWARD: -0.12550801289668315, CURRENT REWARD: -0.12550801289668315
G:13, BEST PARAMS, BEST REWARD: -0.12550801289668315, CURRENT REWARD: -0.12550801289668315
G:14, BEST PARAMS, BEST REWARD: -0.12550801289668315, CURRENT REWARD: -0.12550801289668315
G:15, BEST PARAMS, BEST REWARD: -0.12550801289668315, CURRENT REWARD: -0.12550801289668315
G:16, BEST PARAMS, BEST REWARD: -0.12550801289668315, CURRENT REWARD: -0.12550801289668315
G:17, BEST PARAMS, BEST REWARD: -0.12550801289668315, CURRENT REWARD: -0.12550801289668315
G:18, BEST PARAMS, BEST REWARD: -0.12550801289668315, CURRENT REWARD: -0.12550801289668315
G:19, BEST PARAMS, BEST REWARD: -0.12550801289668315, CURRENT REWARD: -0.12550801289668315
G:20, BEST PARAMS, BEST REWARD: -0.12550801289668315, CURRENT REWARD: -0.12550801289668315
G:21, BEST PARAMS, BEST REWARD: -0.12550801289668315, CURRENT REWARD: -0.12550801289668315
G:22, BEST PARAMS, BEST REWARD: -0.12550801289668315, CURRENT REWARD: -0.12550801289668315
G:23, BEST PARAMS, BEST REWARD: -0.12550801289668315, CURRENT REWARD: -0.12550801289668315
G:24, BEST PARAMS, BEST REWARD: -0.12550801289668315, CURRENT REWARD: -0.12550801289668315
G:25, BEST PARAMS, BEST REWARD: -0.12550801289668315, CURRENT REWARD: -0.12550801289668315
G:26, BEST PARAMS, BEST REWARD: -0.12550801289668315, CURRENT REWARD: -0.12550801289668315
G:27, BEST PARAMS, BEST REWARD: -0.12550801289668315, CURRENT REWARD: -0.12550801289668315
G:28, BEST PARAMS, BEST REWARD: -0.12550801289668315, CURRENT REWARD: -0.12550801289668315
G:29, BEST PARAMS, BEST REWARD: -0.12550801289668315, CURRENT REWARD: -0.12550801289668315
G:30, BEST PARAMS, BEST REWARD: -0.12550801289668315, CURRENT REWARD: -0.12550801289668315
G:31, BEST PARAMS, BEST REWARD: -0.12550801289668315, CURRENT REWARD: -0.12550801289668315
G:32, BEST PARAMS, BEST REWARD: -0.12550801289668315, CURRENT REWARD: -0.12550801289668315
G:33, BEST PARAMS, BEST REWARD: -0.12550801289668315, CURRENT REWARD: -0.12550801289668315
G:34, BEST PARAMS, BEST REWARD: -0.12550801289668315, CURRENT REWARD: -0.12550801289668315
G:35, BEST PARAMS, BEST REWARD: -0.12532355836249334, CURRENT REWARD: -0.12532355836249334
G:36, BEST PARAMS, BEST REWARD: -0.12532355836249334, CURRENT REWARD: -0.12532355836249334
G:37, BEST PARAMS, BEST REWARD: -0.12532355836249334, CURRENT REWARD: -0.12532355836249334
G:38, BEST PARAMS, BEST REWARD: -0.12532355836249334, CURRENT REWARD: -0.12532355836249334
G:39, BEST PARAMS, BEST REWARD: -0.12532355836249334, CURRENT REWARD: -0.12532355836249334
G:40, BEST PARAMS, BEST REWARD: -0.12532355836249334, CURRENT REWARD: -0.12532355836249334
G:41, BEST PARAMS, BEST REWARD: -0.12532355836249334, CURRENT REWARD: -0.12532355836249334
G:42, BEST PARAMS, BEST REWARD: -0.12532355836249334, CURRENT REWARD: -0.12532355836249334
G:43, BEST PARAMS, BEST REWARD: -0.12459747994362279, CURRENT REWARD: -0.12459747994362279
G:44, BEST PARAMS, BEST REWARD: -0.12459747994362279, CURRENT REWARD: -0.12459747994362279
G:45, BEST PARAMS, BEST REWARD: -0.12459747994362279, CURRENT REWARD: -0.12459747994362279
G:46, BEST PARAMS, BEST REWARD: -0.12459747994362279, CURRENT REWARD: -0.12459747994362279
G:47, BEST PARAMS, BEST REWARD: -0.12459747994362279, CURRENT REWARD: -0.12459747994362279
G:48, BEST PARAMS, BEST REWARD: -0.12443737876177197, CURRENT REWARD: -0.12443737876177197
G:49, BEST PARAMS, BEST REWARD: -0.12443737876177197, CURRENT REWARD: -0.12443737876177197
G:50, BEST PARAMS, BEST REWARD: -0.12443737876177197, CURRENT REWARD: -0.12443737876177197
G:51, BEST PARAMS, BEST REWARD: -0.12443737876177197, CURRENT REWARD: -0.12443737876177197
G:52, BEST PARAMS, BEST REWARD: -0.12443737876177197, CURRENT REWARD: -0.12443737876177197
G:53, BEST PARAMS, BEST REWARD: -0.12443737876177197, CURRENT REWARD: -0.12443737876177197
