[[0. 0. 0. 1. 0. 0. 0.]
 [0. 0. 0. 1. 0. 0. 0.]
 [0. 0. 0. 1. 0. 0. 0.]
 [1. 1. 1. 1. 1. 1. 1.]
 [0. 0. 0. 1. 0. 0. 0.]
 [0. 0. 0. 1. 0. 0. 0.]
 [0. 0. 0. 1. 0. 0. 0.]]
(50_w,100)-aCMA-ES (mu_w=27.0,w_1=8%) in dimension 270 (seed=386417, Wed Sep 25 12:52:24 2024)
G:0, BEST PARAMS, BEST REWARD: -0.2067364758879838, CURRENT REWARD: -0.2067364758879838
G:1, BEST PARAMS, BEST REWARD: -0.1654052505466461, CURRENT REWARD: -0.1654052505466461
G:2, BEST PARAMS, BEST REWARD: -0.14483275068335252, CURRENT REWARD: -0.14483275068335252
G:3, BEST PARAMS, BEST REWARD: -0.14483275068335252, CURRENT REWARD: -0.14483275068335252
G:4, BEST PARAMS, BEST REWARD: -0.14483275068335252, CURRENT REWARD: -0.14483275068335252
G:5, BEST PARAMS, BEST REWARD: -0.14483275068335252, CURRENT REWARD: -0.14483275068335252
G:6, BEST PARAMS, BEST REWARD: -0.14483275068335252, CURRENT REWARD: -0.14483275068335252
G:7, BEST PARAMS, BEST REWARD: -0.14483275068335252, CURRENT REWARD: -0.14483275068335252
G:8, BEST PARAMS, BEST REWARD: -0.14483275068335252, CURRENT REWARD: -0.14483275068335252
G:9, BEST PARAMS, BEST REWARD: -0.1447676677596234, CURRENT REWARD: -0.1447676677596234
G:10, BEST PARAMS, BEST REWARD: -0.1447676677596234, CURRENT REWARD: -0.1447676677596234
G:11, BEST PARAMS, BEST REWARD: -0.1447676677596234, CURRENT REWARD: -0.1447676677596234
G:12, BEST PARAMS, BEST REWARD: -0.1447676677596234, CURRENT REWARD: -0.1447676677596234
G:13, BEST PARAMS, BEST REWARD: -0.1447676677596234, CURRENT REWARD: -0.1447676677596234
G:14, BEST PARAMS, BEST REWARD: -0.12519286015426614, CURRENT REWARD: -0.12519286015426614
G:15, BEST PARAMS, BEST REWARD: -0.12519286015426614, CURRENT REWARD: -0.12519286015426614
G:16, BEST PARAMS, BEST REWARD: -0.12519286015426614, CURRENT REWARD: -0.12519286015426614
G:17, BEST PARAMS, BEST REWARD: -0.12517861868019242, CURRENT REWARD: -0.12517861868019242
G:18, BEST PARAMS, BEST REWARD: -0.12517861868019242, CURRENT REWARD: -0.12517861868019242
G:19, BEST PARAMS, BEST REWARD: -0.12517861868019242, CURRENT REWARD: -0.12517861868019242
G:20, BEST PARAMS, BEST REWARD: -0.12517861868019242, CURRENT REWARD: -0.12517861868019242
G:21, BEST PARAMS, BEST REWARD: -0.12517861868019242, CURRENT REWARD: -0.12517861868019242
G:22, BEST PARAMS, BEST REWARD: -0.12517861868019242, CURRENT REWARD: -0.12517861868019242
G:23, BEST PARAMS, BEST REWARD: -0.12517861868019242, CURRENT REWARD: -0.12517861868019242
G:24, BEST PARAMS, BEST REWARD: -0.12517861868019242, CURRENT REWARD: -0.12517861868019242
G:25, BEST PARAMS, BEST REWARD: -0.12517861868019242, CURRENT REWARD: -0.12517861868019242
G:26, BEST PARAMS, BEST REWARD: -0.12517861868019242, CURRENT REWARD: -0.12517861868019242
G:27, BEST PARAMS, BEST REWARD: -0.12517861868019242, CURRENT REWARD: -0.12517861868019242
G:28, BEST PARAMS, BEST REWARD: -0.12517861868019242, CURRENT REWARD: -0.12517861868019242
G:29, BEST PARAMS, BEST REWARD: -0.12517861868019242, CURRENT REWARD: -0.12517861868019242
G:30, BEST PARAMS, BEST REWARD: -0.12517861868019242, CURRENT REWARD: -0.12517861868019242
G:31, BEST PARAMS, BEST REWARD: -0.12517458692511957, CURRENT REWARD: -0.12517458692511957
G:32, BEST PARAMS, BEST REWARD: -0.12517458692511957, CURRENT REWARD: -0.12517458692511957
G:33, BEST PARAMS, BEST REWARD: -0.12517458692511957, CURRENT REWARD: -0.12517458692511957
G:34, BEST PARAMS, BEST REWARD: -0.12517458692511957, CURRENT REWARD: -0.12517458692511957
G:35, BEST PARAMS, BEST REWARD: -0.10530819469792695, CURRENT REWARD: -0.10530819469792695
G:36, BEST PARAMS, BEST REWARD: -0.10530819469792695, CURRENT REWARD: -0.10530819469792695
