[[0. 0. 0. 1. 0. 0. 0.]
 [0. 0. 0. 1. 0. 0. 0.]
 [0. 0. 0. 1. 0. 0. 0.]
 [1. 1. 1. 1. 1. 1. 1.]
 [0. 0. 0. 1. 0. 0. 0.]
 [0. 0. 0. 1. 0. 0. 0.]
 [0. 0. 0. 1. 0. 0. 0.]]
(50_w,100)-aCMA-ES (mu_w=27.0,w_1=8%) in dimension 90 (seed=359563, Wed Sep 25 12:52:24 2024)
G:0, BEST PARAMS, BEST REWARD: -0.16606018911787043, CURRENT REWARD: -0.16606018911787043
G:1, BEST PARAMS, BEST REWARD: -0.16606018911787043, CURRENT REWARD: -0.16606018911787043
G:2, BEST PARAMS, BEST REWARD: -0.16547525128795593, CURRENT REWARD: -0.16547525128795593
G:3, BEST PARAMS, BEST REWARD: -0.14465525306758117, CURRENT REWARD: -0.14465525306758117
G:4, BEST PARAMS, BEST REWARD: -0.14465525306758117, CURRENT REWARD: -0.14465525306758117
G:5, BEST PARAMS, BEST REWARD: -0.12476321039449746, CURRENT REWARD: -0.12476321039449746
G:6, BEST PARAMS, BEST REWARD: -0.12476321039449746, CURRENT REWARD: -0.12476321039449746
G:7, BEST PARAMS, BEST REWARD: -0.12476321039449746, CURRENT REWARD: -0.12476321039449746
G:8, BEST PARAMS, BEST REWARD: -0.12476321039449746, CURRENT REWARD: -0.12476321039449746
G:9, BEST PARAMS, BEST REWARD: -0.12476321039449746, CURRENT REWARD: -0.12476321039449746
G:10, BEST PARAMS, BEST REWARD: -0.12476321039449746, CURRENT REWARD: -0.12476321039449746
G:11, BEST PARAMS, BEST REWARD: -0.12476321039449746, CURRENT REWARD: -0.12476321039449746
G:12, BEST PARAMS, BEST REWARD: -0.12476321039449746, CURRENT REWARD: -0.12476321039449746
G:13, BEST PARAMS, BEST REWARD: -0.12476321039449746, CURRENT REWARD: -0.12476321039449746
G:14, BEST PARAMS, BEST REWARD: -0.12476321039449746, CURRENT REWARD: -0.12476321039449746
G:15, BEST PARAMS, BEST REWARD: -0.12476321039449746, CURRENT REWARD: -0.12476321039449746
G:16, BEST PARAMS, BEST REWARD: -0.12476321039449746, CURRENT REWARD: -0.12476321039449746
G:17, BEST PARAMS, BEST REWARD: -0.12476321039449746, CURRENT REWARD: -0.12476321039449746
G:18, BEST PARAMS, BEST REWARD: -0.12476321039449746, CURRENT REWARD: -0.12476321039449746
G:19, BEST PARAMS, BEST REWARD: -0.12476321039449746, CURRENT REWARD: -0.12476321039449746
G:20, BEST PARAMS, BEST REWARD: -0.12476321039449746, CURRENT REWARD: -0.12476321039449746
G:21, BEST PARAMS, BEST REWARD: -0.12476321039449746, CURRENT REWARD: -0.12476321039449746
G:22, BEST PARAMS, BEST REWARD: -0.12476321039449746, CURRENT REWARD: -0.12476321039449746
G:23, BEST PARAMS, BEST REWARD: -0.12476321039449746, CURRENT REWARD: -0.12476321039449746
G:24, BEST PARAMS, BEST REWARD: -0.12476321039449746, CURRENT REWARD: -0.12476321039449746
G:25, BEST PARAMS, BEST REWARD: -0.12476321039449746, CURRENT REWARD: -0.12476321039449746
G:26, BEST PARAMS, BEST REWARD: -0.12476321039449746, CURRENT REWARD: -0.12476321039449746
G:27, BEST PARAMS, BEST REWARD: -0.12476321039449746, CURRENT REWARD: -0.12476321039449746
G:28, BEST PARAMS, BEST REWARD: -0.12476321039449746, CURRENT REWARD: -0.12476321039449746
G:29, BEST PARAMS, BEST REWARD: -0.12476321039449746, CURRENT REWARD: -0.12476321039449746
G:30, BEST PARAMS, BEST REWARD: -0.12476321039449746, CURRENT REWARD: -0.12476321039449746
G:31, BEST PARAMS, BEST REWARD: -0.12476321039449746, CURRENT REWARD: -0.12476321039449746
G:32, BEST PARAMS, BEST REWARD: -0.12476321039449746, CURRENT REWARD: -0.12476321039449746
G:33, BEST PARAMS, BEST REWARD: -0.12476321039449746, CURRENT REWARD: -0.12476321039449746
G:34, BEST PARAMS, BEST REWARD: -0.12476321039449746, CURRENT REWARD: -0.12476321039449746
G:35, BEST PARAMS, BEST REWARD: -0.12476321039449746, CURRENT REWARD: -0.12476321039449746
G:36, BEST PARAMS, BEST REWARD: -0.12476321039449746, CURRENT REWARD: -0.12476321039449746
G:37, BEST PARAMS, BEST REWARD: -0.12476321039449746, CURRENT REWARD: -0.12476321039449746
G:38, BEST PARAMS, BEST REWARD: -0.12476321039449746, CURRENT REWARD: -0.12476321039449746
G:39, BEST PARAMS, BEST REWARD: -0.12476321039449746, CURRENT REWARD: -0.12476321039449746
G:40, BEST PARAMS, BEST REWARD: -0.12471213112954105, CURRENT REWARD: -0.12471213112954105
G:41, BEST PARAMS, BEST REWARD: -0.12471213112954105, CURRENT REWARD: -0.12471213112954105
G:42, BEST PARAMS, BEST REWARD: -0.12471213112954105, CURRENT REWARD: -0.12471213112954105
G:43, BEST PARAMS, BEST REWARD: -0.12471213112954105, CURRENT REWARD: -0.12471213112954105
G:44, BEST PARAMS, BEST REWARD: -0.12471213112954105, CURRENT REWARD: -0.12471213112954105
G:45, BEST PARAMS, BEST REWARD: -0.12471213112954105, CURRENT REWARD: -0.12471213112954105
G:46, BEST PARAMS, BEST REWARD: -0.12471213112954105, CURRENT REWARD: -0.12471213112954105
G:47, BEST PARAMS, BEST REWARD: -0.12471213112954105, CURRENT REWARD: -0.12471213112954105
G:48, BEST PARAMS, BEST REWARD: -0.12471213112954105, CURRENT REWARD: -0.12471213112954105
G:49, BEST PARAMS, BEST REWARD: -0.12471213112954105, CURRENT REWARD: -0.12471213112954105
G:50, BEST PARAMS, BEST REWARD: -0.12471213112954105, CURRENT REWARD: -0.12471213112954105
G:51, BEST PARAMS, BEST REWARD: -0.12471213112954105, CURRENT REWARD: -0.12471213112954105
G:52, BEST PARAMS, BEST REWARD: -0.12471213112954105, CURRENT REWARD: -0.12471213112954105
G:53, BEST PARAMS, BEST REWARD: -0.12471213112954105, CURRENT REWARD: -0.12471213112954105
G:54, BEST PARAMS, BEST REWARD: -0.12471213112954105, CURRENT REWARD: -0.12471213112954105
G:55, BEST PARAMS, BEST REWARD: -0.12471213112954105, CURRENT REWARD: -0.12471213112954105
G:56, BEST PARAMS, BEST REWARD: -0.12471213112954105, CURRENT REWARD: -0.12471213112954105
G:57, BEST PARAMS, BEST REWARD: -0.12471213112954105, CURRENT REWARD: -0.12471213112954105
G:58, BEST PARAMS, BEST REWARD: -0.12471213112954105, CURRENT REWARD: -0.12471213112954105
G:59, BEST PARAMS, BEST REWARD: -0.12471213112954105, CURRENT REWARD: -0.12471213112954105
G:60, BEST PARAMS, BEST REWARD: -0.12471213112954105, CURRENT REWARD: -0.12471213112954105
G:61, BEST PARAMS, BEST REWARD: -0.12471213112954105, CURRENT REWARD: -0.12471213112954105
G:62, BEST PARAMS, BEST REWARD: -0.12471213112954105, CURRENT REWARD: -0.12471213112954105
G:63, BEST PARAMS, BEST REWARD: -0.12471213112954105, CURRENT REWARD: -0.12471213112954105
G:64, BEST PARAMS, BEST REWARD: -0.12471213112954105, CURRENT REWARD: -0.12471213112954105
G:65, BEST PARAMS, BEST REWARD: -0.12471213112954105, CURRENT REWARD: -0.12471213112954105
G:66, BEST PARAMS, BEST REWARD: -0.12471213112954105, CURRENT REWARD: -0.12471213112954105
G:67, BEST PARAMS, BEST REWARD: -0.12471213112954105, CURRENT REWARD: -0.12471213112954105
G:68, BEST PARAMS, BEST REWARD: -0.12471213112954105, CURRENT REWARD: -0.12471213112954105
G:69, BEST PARAMS, BEST REWARD: -0.12471213112954105, CURRENT REWARD: -0.12471213112954105
G:70, BEST PARAMS, BEST REWARD: -0.12471213112954105, CURRENT REWARD: -0.12471213112954105
G:71, BEST PARAMS, BEST REWARD: -0.12471213112954105, CURRENT REWARD: -0.12471213112954105
G:72, BEST PARAMS, BEST REWARD: -0.12345070613058957, CURRENT REWARD: -0.12345070613058957
G:73, BEST PARAMS, BEST REWARD: -0.12345070613058957, CURRENT REWARD: -0.12345070613058957
G:74, BEST PARAMS, BEST REWARD: -0.12345070613058957, CURRENT REWARD: -0.12345070613058957
G:75, BEST PARAMS, BEST REWARD: -0.12345070613058957, CURRENT REWARD: -0.12345070613058957
G:76, BEST PARAMS, BEST REWARD: -0.12345070613058957, CURRENT REWARD: -0.12345070613058957
G:77, BEST PARAMS, BEST REWARD: -0.12345070613058957, CURRENT REWARD: -0.12345070613058957
G:78, BEST PARAMS, BEST REWARD: -0.12345070613058957, CURRENT REWARD: -0.12345070613058957
G:79, BEST PARAMS, BEST REWARD: -0.12345070613058957, CURRENT REWARD: -0.12345070613058957
G:80, BEST PARAMS, BEST REWARD: -0.12345070613058957, CURRENT REWARD: -0.12345070613058957
G:81, BEST PARAMS, BEST REWARD: -0.12345070613058957, CURRENT REWARD: -0.12345070613058957
G:82, BEST PARAMS, BEST REWARD: -0.12345070613058957, CURRENT REWARD: -0.12345070613058957
G:83, BEST PARAMS, BEST REWARD: -0.12345070613058957, CURRENT REWARD: -0.12345070613058957
G:84, BEST PARAMS, BEST REWARD: -0.12345070613058957, CURRENT REWARD: -0.12345070613058957
G:85, BEST PARAMS, BEST REWARD: -0.12345070613058957, CURRENT REWARD: -0.12345070613058957
G:86, BEST PARAMS, BEST REWARD: -0.12345070613058957, CURRENT REWARD: -0.12345070613058957
G:87, BEST PARAMS, BEST REWARD: -0.12345070613058957, CURRENT REWARD: -0.12345070613058957
G:88, BEST PARAMS, BEST REWARD: -0.12345070613058957, CURRENT REWARD: -0.12345070613058957
G:89, BEST PARAMS, BEST REWARD: -0.12329363230840688, CURRENT REWARD: -0.12329363230840688
G:90, BEST PARAMS, BEST REWARD: -0.12329363230840688, CURRENT REWARD: -0.12329363230840688
G:91, BEST PARAMS, BEST REWARD: -0.12329363230840688, CURRENT REWARD: -0.12329363230840688
G:92, BEST PARAMS, BEST REWARD: -0.12329363230840688, CURRENT REWARD: -0.12329363230840688
G:93, BEST PARAMS, BEST REWARD: -0.12328280941545691, CURRENT REWARD: -0.12328280941545691
