[[0. 0. 0. 1. 0. 0. 0.]
 [0. 0. 0. 1. 0. 0. 0.]
 [0. 0. 0. 1. 0. 0. 0.]
 [1. 1. 1. 1. 1. 1. 1.]
 [0. 0. 0. 1. 0. 0. 0.]
 [0. 0. 0. 1. 0. 0. 0.]
 [0. 0. 0. 1. 0. 0. 0.]]
(50_w,100)-aCMA-ES (mu_w=27.0,w_1=8%) in dimension 270 (seed=349037, Wed Sep 25 12:52:21 2024)
G:0, BEST PARAMS, BEST REWARD: -0.20630649371683782, CURRENT REWARD: -0.20630649371683782
G:1, BEST PARAMS, BEST REWARD: -0.16568652044140728, CURRENT REWARD: -0.16568652044140728
G:2, BEST PARAMS, BEST REWARD: -0.1653930324469163, CURRENT REWARD: -0.1653930324469163
G:3, BEST PARAMS, BEST REWARD: -0.1653930324469163, CURRENT REWARD: -0.1653930324469163
G:4, BEST PARAMS, BEST REWARD: -0.1653930324469163, CURRENT REWARD: -0.1653930324469163
G:5, BEST PARAMS, BEST REWARD: -0.14498412039952924, CURRENT REWARD: -0.14498412039952924
G:6, BEST PARAMS, BEST REWARD: -0.14498412039952924, CURRENT REWARD: -0.14498412039952924
G:7, BEST PARAMS, BEST REWARD: -0.14498412039952924, CURRENT REWARD: -0.14498412039952924
G:8, BEST PARAMS, BEST REWARD: -0.14498412039952924, CURRENT REWARD: -0.14498412039952924
G:9, BEST PARAMS, BEST REWARD: -0.14498412039952924, CURRENT REWARD: -0.14498412039952924
G:10, BEST PARAMS, BEST REWARD: -0.14498412039952924, CURRENT REWARD: -0.14498412039952924
G:11, BEST PARAMS, BEST REWARD: -0.14498412039952924, CURRENT REWARD: -0.14498412039952924
G:12, BEST PARAMS, BEST REWARD: -0.14498412039952924, CURRENT REWARD: -0.14498412039952924
G:13, BEST PARAMS, BEST REWARD: -0.14498412039952924, CURRENT REWARD: -0.14498412039952924
G:14, BEST PARAMS, BEST REWARD: -0.12425943383327046, CURRENT REWARD: -0.12425943383327046
G:15, BEST PARAMS, BEST REWARD: -0.10484218914063145, CURRENT REWARD: -0.10484218914063145
G:16, BEST PARAMS, BEST REWARD: -0.10484218914063145, CURRENT REWARD: -0.10484218914063145
G:17, BEST PARAMS, BEST REWARD: -0.10484218914063145, CURRENT REWARD: -0.10484218914063145
G:18, BEST PARAMS, BEST REWARD: -0.10484218914063145, CURRENT REWARD: -0.10484218914063145
G:19, BEST PARAMS, BEST REWARD: -0.10484218914063145, CURRENT REWARD: -0.10484218914063145
G:20, BEST PARAMS, BEST REWARD: -0.10484218914063145, CURRENT REWARD: -0.10484218914063145
