/home/nbes/LCA/Visuals.py:32: MatplotlibDeprecationWarning: Adding an axes using the same arguments as a previous axes currently reuses the earlier instance.  In a future version, a new instance will always be created and returned.  Meanwhile, this warning can be suppressed, and the future behavior ensured, by passing a unique label to each axes instance.
  fig.add_axes(ax)
(50_w,100)-aCMA-ES (mu_w=27.0,w_1=8%) in dimension 180 (seed=739435, Wed Sep 18 09:58:44 2024)
G:58, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:59, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:60, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:61, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:62, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:63, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:64, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:65, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:66, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:67, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:68, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:69, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:70, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:71, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:72, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:73, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:74, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:75, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:76, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:77, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
