[[0. 0. 0. 1. 0. 0. 0.]
 [0. 0. 0. 1. 0. 0. 0.]
 [0. 0. 0. 1. 0. 0. 0.]
 [1. 1. 1. 1. 1. 1. 1.]
 [0. 0. 0. 1. 0. 0. 0.]
 [0. 0. 0. 1. 0. 0. 0.]
 [0. 0. 0. 1. 0. 0. 0.]]
(50_w,100)-aCMA-ES (mu_w=27.0,w_1=8%) in dimension 144 (seed=356071, Wed Sep 25 12:52:24 2024)
G:0, BEST PARAMS, BEST REWARD: -0.18607263577096678, CURRENT REWARD: -0.18607263577096678
G:1, BEST PARAMS, BEST REWARD: -0.14543980368824191, CURRENT REWARD: -0.14543980368824191
G:2, BEST PARAMS, BEST REWARD: -0.14543980368824191, CURRENT REWARD: -0.14543980368824191
G:3, BEST PARAMS, BEST REWARD: -0.14543980368824191, CURRENT REWARD: -0.14543980368824191
G:4, BEST PARAMS, BEST REWARD: -0.14496058235161988, CURRENT REWARD: -0.14496058235161988
G:5, BEST PARAMS, BEST REWARD: -0.14496058235161988, CURRENT REWARD: -0.14496058235161988
G:6, BEST PARAMS, BEST REWARD: -0.14496058235161988, CURRENT REWARD: -0.14496058235161988
G:7, BEST PARAMS, BEST REWARD: -0.10451179860250712, CURRENT REWARD: -0.10451179860250712
G:8, BEST PARAMS, BEST REWARD: -0.10451179860250712, CURRENT REWARD: -0.10451179860250712
G:9, BEST PARAMS, BEST REWARD: -0.10451179860250712, CURRENT REWARD: -0.10451179860250712
G:10, BEST PARAMS, BEST REWARD: -0.10451179860250712, CURRENT REWARD: -0.10451179860250712
G:11, BEST PARAMS, BEST REWARD: -0.10451179860250712, CURRENT REWARD: -0.10451179860250712
G:12, BEST PARAMS, BEST REWARD: -0.10451179860250712, CURRENT REWARD: -0.10451179860250712
G:13, BEST PARAMS, BEST REWARD: -0.10451179860250712, CURRENT REWARD: -0.10451179860250712
G:14, BEST PARAMS, BEST REWARD: -0.10451179860250712, CURRENT REWARD: -0.10451179860250712
G:15, BEST PARAMS, BEST REWARD: -0.10451179860250712, CURRENT REWARD: -0.10451179860250712
G:16, BEST PARAMS, BEST REWARD: -0.10451179860250712, CURRENT REWARD: -0.10451179860250712
G:17, BEST PARAMS, BEST REWARD: -0.10451179860250712, CURRENT REWARD: -0.10451179860250712
G:18, BEST PARAMS, BEST REWARD: -0.10451179860250712, CURRENT REWARD: -0.10451179860250712
G:19, BEST PARAMS, BEST REWARD: -0.10451179860250712, CURRENT REWARD: -0.10451179860250712
G:20, BEST PARAMS, BEST REWARD: -0.10451179860250712, CURRENT REWARD: -0.10451179860250712
G:21, BEST PARAMS, BEST REWARD: -0.10451179860250712, CURRENT REWARD: -0.10451179860250712
G:22, BEST PARAMS, BEST REWARD: -0.10451179860250712, CURRENT REWARD: -0.10451179860250712
G:23, BEST PARAMS, BEST REWARD: -0.10451179860250712, CURRENT REWARD: -0.10451179860250712
G:24, BEST PARAMS, BEST REWARD: -0.10451179860250712, CURRENT REWARD: -0.10451179860250712
G:25, BEST PARAMS, BEST REWARD: -0.10451179860250712, CURRENT REWARD: -0.10451179860250712
G:26, BEST PARAMS, BEST REWARD: -0.10451179860250712, CURRENT REWARD: -0.10451179860250712
G:27, BEST PARAMS, BEST REWARD: -0.10451179860250712, CURRENT REWARD: -0.10451179860250712
G:28, BEST PARAMS, BEST REWARD: -0.10451179860250712, CURRENT REWARD: -0.10451179860250712
G:29, BEST PARAMS, BEST REWARD: -0.10451179860250712, CURRENT REWARD: -0.10451179860250712
G:30, BEST PARAMS, BEST REWARD: -0.10451179860250712, CURRENT REWARD: -0.10451179860250712
G:31, BEST PARAMS, BEST REWARD: -0.10451179860250712, CURRENT REWARD: -0.10451179860250712
G:32, BEST PARAMS, BEST REWARD: -0.10451179860250712, CURRENT REWARD: -0.10451179860250712
G:33, BEST PARAMS, BEST REWARD: -0.10451179860250712, CURRENT REWARD: -0.10451179860250712
G:34, BEST PARAMS, BEST REWARD: -0.10451179860250712, CURRENT REWARD: -0.10451179860250712
G:35, BEST PARAMS, BEST REWARD: -0.10451179860250712, CURRENT REWARD: -0.10451179860250712
G:36, BEST PARAMS, BEST REWARD: -0.10451179860250712, CURRENT REWARD: -0.10451179860250712
G:37, BEST PARAMS, BEST REWARD: -0.10451179860250712, CURRENT REWARD: -0.10451179860250712
G:38, BEST PARAMS, BEST REWARD: -0.10451179860250712, CURRENT REWARD: -0.10451179860250712
G:39, BEST PARAMS, BEST REWARD: -0.10451179860250712, CURRENT REWARD: -0.10451179860250712
G:40, BEST PARAMS, BEST REWARD: -0.10451179860250712, CURRENT REWARD: -0.10451179860250712
G:41, BEST PARAMS, BEST REWARD: -0.10451179860250712, CURRENT REWARD: -0.10451179860250712
G:42, BEST PARAMS, BEST REWARD: -0.10451179860250712, CURRENT REWARD: -0.10451179860250712
G:43, BEST PARAMS, BEST REWARD: -0.10451179860250712, CURRENT REWARD: -0.10451179860250712
G:44, BEST PARAMS, BEST REWARD: -0.10451179860250712, CURRENT REWARD: -0.10451179860250712
G:45, BEST PARAMS, BEST REWARD: -0.10451179860250712, CURRENT REWARD: -0.10451179860250712
G:46, BEST PARAMS, BEST REWARD: -0.1039131500777164, CURRENT REWARD: -0.1039131500777164
G:47, BEST PARAMS, BEST REWARD: -0.1039131500777164, CURRENT REWARD: -0.1039131500777164
G:48, BEST PARAMS, BEST REWARD: -0.1039131500777164, CURRENT REWARD: -0.1039131500777164
G:49, BEST PARAMS, BEST REWARD: -0.1039131500777164, CURRENT REWARD: -0.1039131500777164
G:50, BEST PARAMS, BEST REWARD: -0.1039131500777164, CURRENT REWARD: -0.1039131500777164
G:51, BEST PARAMS, BEST REWARD: -0.1039131500777164, CURRENT REWARD: -0.1039131500777164
G:52, BEST PARAMS, BEST REWARD: -0.1039131500777164, CURRENT REWARD: -0.1039131500777164
G:53, BEST PARAMS, BEST REWARD: -0.1039131500777164, CURRENT REWARD: -0.1039131500777164
G:54, BEST PARAMS, BEST REWARD: -0.1039131500777164, CURRENT REWARD: -0.1039131500777164
G:55, BEST PARAMS, BEST REWARD: -0.1039131500777164, CURRENT REWARD: -0.1039131500777164
