[[0. 0. 0. 1. 0. 0. 0.]
 [0. 0. 0. 1. 0. 0. 0.]
 [0. 0. 0. 1. 0. 0. 0.]
 [1. 1. 1. 1. 1. 1. 1.]
 [0. 0. 0. 1. 0. 0. 0.]
 [0. 0. 0. 1. 0. 0. 0.]
 [0. 0. 0. 1. 0. 0. 0.]]
(50_w,100)-aCMA-ES (mu_w=27.0,w_1=8%) in dimension 180 (seed=357579, Wed Sep 25 12:52:24 2024)
G:0, BEST PARAMS, BEST REWARD: -0.1856050556532516, CURRENT REWARD: -0.1856050556532516
G:1, BEST PARAMS, BEST REWARD: -0.16539778657045143, CURRENT REWARD: -0.16539778657045143
G:2, BEST PARAMS, BEST REWARD: -0.16532276241290506, CURRENT REWARD: -0.16532276241290506
G:3, BEST PARAMS, BEST REWARD: -0.14464797373320873, CURRENT REWARD: -0.14464797373320873
G:4, BEST PARAMS, BEST REWARD: -0.14464797373320873, CURRENT REWARD: -0.14464797373320873
G:5, BEST PARAMS, BEST REWARD: -0.14464797373320873, CURRENT REWARD: -0.14464797373320873
G:6, BEST PARAMS, BEST REWARD: -0.14464797373320873, CURRENT REWARD: -0.14464797373320873
G:7, BEST PARAMS, BEST REWARD: -0.14464797373320873, CURRENT REWARD: -0.14464797373320873
G:8, BEST PARAMS, BEST REWARD: -0.14464797373320873, CURRENT REWARD: -0.14464797373320873
G:9, BEST PARAMS, BEST REWARD: -0.12481105540295326, CURRENT REWARD: -0.12481105540295326
G:10, BEST PARAMS, BEST REWARD: -0.12481105540295326, CURRENT REWARD: -0.12481105540295326
G:11, BEST PARAMS, BEST REWARD: -0.12481105540295326, CURRENT REWARD: -0.12481105540295326
G:12, BEST PARAMS, BEST REWARD: -0.12481105540295326, CURRENT REWARD: -0.12481105540295326
G:13, BEST PARAMS, BEST REWARD: -0.12481105540295326, CURRENT REWARD: -0.12481105540295326
G:14, BEST PARAMS, BEST REWARD: -0.12481105540295326, CURRENT REWARD: -0.12481105540295326
G:15, BEST PARAMS, BEST REWARD: -0.12481105540295326, CURRENT REWARD: -0.12481105540295326
G:16, BEST PARAMS, BEST REWARD: -0.12481105540295326, CURRENT REWARD: -0.12481105540295326
G:17, BEST PARAMS, BEST REWARD: -0.12481105540295326, CURRENT REWARD: -0.12481105540295326
G:18, BEST PARAMS, BEST REWARD: -0.12481105540295326, CURRENT REWARD: -0.12481105540295326
G:19, BEST PARAMS, BEST REWARD: -0.12481105540295326, CURRENT REWARD: -0.12481105540295326
G:20, BEST PARAMS, BEST REWARD: -0.12481105540295326, CURRENT REWARD: -0.12481105540295326
G:21, BEST PARAMS, BEST REWARD: -0.12481105540295326, CURRENT REWARD: -0.12481105540295326
G:22, BEST PARAMS, BEST REWARD: -0.12481105540295326, CURRENT REWARD: -0.12481105540295326
G:23, BEST PARAMS, BEST REWARD: -0.12481105540295326, CURRENT REWARD: -0.12481105540295326
G:24, BEST PARAMS, BEST REWARD: -0.12481105540295326, CURRENT REWARD: -0.12481105540295326
G:25, BEST PARAMS, BEST REWARD: -0.12481105540295326, CURRENT REWARD: -0.12481105540295326
G:26, BEST PARAMS, BEST REWARD: -0.12481105540295326, CURRENT REWARD: -0.12481105540295326
G:27, BEST PARAMS, BEST REWARD: -0.12481105540295326, CURRENT REWARD: -0.12481105540295326
G:28, BEST PARAMS, BEST REWARD: -0.12481105540295326, CURRENT REWARD: -0.12481105540295326
G:29, BEST PARAMS, BEST REWARD: -0.12481105540295326, CURRENT REWARD: -0.12481105540295326
G:30, BEST PARAMS, BEST REWARD: -0.12481105540295326, CURRENT REWARD: -0.12481105540295326
G:31, BEST PARAMS, BEST REWARD: -0.12481105540295326, CURRENT REWARD: -0.12481105540295326
G:32, BEST PARAMS, BEST REWARD: -0.12481105540295326, CURRENT REWARD: -0.12481105540295326
G:33, BEST PARAMS, BEST REWARD: -0.12481105540295326, CURRENT REWARD: -0.12481105540295326
G:34, BEST PARAMS, BEST REWARD: -0.12481105540295326, CURRENT REWARD: -0.12481105540295326
G:35, BEST PARAMS, BEST REWARD: -0.12481105540295326, CURRENT REWARD: -0.12481105540295326
G:36, BEST PARAMS, BEST REWARD: -0.12481105540295326, CURRENT REWARD: -0.12481105540295326
G:37, BEST PARAMS, BEST REWARD: -0.12481105540295326, CURRENT REWARD: -0.12481105540295326
G:38, BEST PARAMS, BEST REWARD: -0.12481105540295326, CURRENT REWARD: -0.12481105540295326
G:39, BEST PARAMS, BEST REWARD: -0.12481105540295326, CURRENT REWARD: -0.12481105540295326
G:40, BEST PARAMS, BEST REWARD: -0.12480439694596111, CURRENT REWARD: -0.12480439694596111
G:41, BEST PARAMS, BEST REWARD: -0.12480439694596111, CURRENT REWARD: -0.12480439694596111
G:42, BEST PARAMS, BEST REWARD: -0.1244753318611455, CURRENT REWARD: -0.1244753318611455
G:43, BEST PARAMS, BEST REWARD: -0.1244753318611455, CURRENT REWARD: -0.1244753318611455
G:44, BEST PARAMS, BEST REWARD: -0.1244753318611455, CURRENT REWARD: -0.1244753318611455
G:45, BEST PARAMS, BEST REWARD: -0.1244753318611455, CURRENT REWARD: -0.1244753318611455
G:46, BEST PARAMS, BEST REWARD: -0.10455672054656887, CURRENT REWARD: -0.10455672054656887
G:47, BEST PARAMS, BEST REWARD: -0.10455672054656887, CURRENT REWARD: -0.10455672054656887
G:48, BEST PARAMS, BEST REWARD: -0.10455672054656887, CURRENT REWARD: -0.10455672054656887
G:49, BEST PARAMS, BEST REWARD: -0.10440577789598278, CURRENT REWARD: -0.10440577789598278
G:50, BEST PARAMS, BEST REWARD: -0.10409062738211605, CURRENT REWARD: -0.10409062738211605
G:51, BEST PARAMS, BEST REWARD: -0.10409062738211605, CURRENT REWARD: -0.10409062738211605
G:52, BEST PARAMS, BEST REWARD: -0.10409062738211605, CURRENT REWARD: -0.10409062738211605
G:53, BEST PARAMS, BEST REWARD: -0.10409062738211605, CURRENT REWARD: -0.10409062738211605
G:54, BEST PARAMS, BEST REWARD: -0.10409062738211605, CURRENT REWARD: -0.10409062738211605
G:55, BEST PARAMS, BEST REWARD: -0.10409062738211605, CURRENT REWARD: -0.10409062738211605
G:56, BEST PARAMS, BEST REWARD: -0.10409062738211605, CURRENT REWARD: -0.10409062738211605
G:57, BEST PARAMS, BEST REWARD: -0.10409062738211605, CURRENT REWARD: -0.10409062738211605
G:58, BEST PARAMS, BEST REWARD: -0.10409062738211605, CURRENT REWARD: -0.10409062738211605
G:59, BEST PARAMS, BEST REWARD: -0.08406770726236236, CURRENT REWARD: -0.08406770726236236
G:60, BEST PARAMS, BEST REWARD: -0.08406770726236236, CURRENT REWARD: -0.08406770726236236
G:61, BEST PARAMS, BEST REWARD: -0.08406770726236236, CURRENT REWARD: -0.08406770726236236
G:62, BEST PARAMS, BEST REWARD: -0.08406770726236236, CURRENT REWARD: -0.08406770726236236
G:63, BEST PARAMS, BEST REWARD: -0.08406770726236236, CURRENT REWARD: -0.08406770726236236
G:64, BEST PARAMS, BEST REWARD: -0.08406770726236236, CURRENT REWARD: -0.08406770726236236
G:65, BEST PARAMS, BEST REWARD: -0.08406770726236236, CURRENT REWARD: -0.08406770726236236
G:66, BEST PARAMS, BEST REWARD: -0.08386660528190738, CURRENT REWARD: -0.08386660528190738
G:67, BEST PARAMS, BEST REWARD: -0.08386660528190738, CURRENT REWARD: -0.08386660528190738
G:68, BEST PARAMS, BEST REWARD: -0.08386660528190738, CURRENT REWARD: -0.08386660528190738
G:69, BEST PARAMS, BEST REWARD: -0.08386660528190738, CURRENT REWARD: -0.08386660528190738
G:70, BEST PARAMS, BEST REWARD: -0.08382343663487431, CURRENT REWARD: -0.08382343663487431
G:71, BEST PARAMS, BEST REWARD: -0.08382343663487431, CURRENT REWARD: -0.08382343663487431
G:72, BEST PARAMS, BEST REWARD: -0.08382343663487431, CURRENT REWARD: -0.08382343663487431
G:73, BEST PARAMS, BEST REWARD: -0.08382343663487431, CURRENT REWARD: -0.08382343663487431
G:74, BEST PARAMS, BEST REWARD: -0.08382343663487431, CURRENT REWARD: -0.08382343663487431
G:75, BEST PARAMS, BEST REWARD: -0.08369758147459622, CURRENT REWARD: -0.08369758147459622
G:76, BEST PARAMS, BEST REWARD: -0.08366343805728974, CURRENT REWARD: -0.08366343805728974
G:77, BEST PARAMS, BEST REWARD: -0.08366343805728974, CURRENT REWARD: -0.08366343805728974
G:78, BEST PARAMS, BEST REWARD: -0.08366343805728974, CURRENT REWARD: -0.08366343805728974
G:79, BEST PARAMS, BEST REWARD: -0.08356881055816089, CURRENT REWARD: -0.08356881055816089
G:80, BEST PARAMS, BEST REWARD: -0.08354537114158672, CURRENT REWARD: -0.08354537114158672
G:81, BEST PARAMS, BEST REWARD: -0.08354537114158672, CURRENT REWARD: -0.08354537114158672
G:82, BEST PARAMS, BEST REWARD: -0.08354537114158672, CURRENT REWARD: -0.08354537114158672
G:83, BEST PARAMS, BEST REWARD: -0.08354537114158672, CURRENT REWARD: -0.08354537114158672
G:84, BEST PARAMS, BEST REWARD: -0.08354537114158672, CURRENT REWARD: -0.08354537114158672
G:85, BEST PARAMS, BEST REWARD: -0.08354537114158672, CURRENT REWARD: -0.08354537114158672
G:86, BEST PARAMS, BEST REWARD: -0.08351283001410705, CURRENT REWARD: -0.08351283001410705
G:87, BEST PARAMS, BEST REWARD: -0.0834478490172673, CURRENT REWARD: -0.0834478490172673
G:88, BEST PARAMS, BEST REWARD: -0.0834478490172673, CURRENT REWARD: -0.0834478490172673
G:89, BEST PARAMS, BEST REWARD: -0.0834478490172673, CURRENT REWARD: -0.0834478490172673
G:90, BEST PARAMS, BEST REWARD: -0.08338938585063771, CURRENT REWARD: -0.08338938585063771
G:91, BEST PARAMS, BEST REWARD: -0.0833788308994843, CURRENT REWARD: -0.0833788308994843
G:92, BEST PARAMS, BEST REWARD: -0.06294427677866417, CURRENT REWARD: -0.06294427677866417
G:93, BEST PARAMS, BEST REWARD: -0.06294427677866417, CURRENT REWARD: -0.06294427677866417
G:94, BEST PARAMS, BEST REWARD: -0.06294427677866417, CURRENT REWARD: -0.06294427677866417
G:95, BEST PARAMS, BEST REWARD: -0.06294427677866417, CURRENT REWARD: -0.06294427677866417
G:96, BEST PARAMS, BEST REWARD: -0.06278426371215184, CURRENT REWARD: -0.06278426371215184
G:97, BEST PARAMS, BEST REWARD: -0.06278426371215184, CURRENT REWARD: -0.06278426371215184
G:98, BEST PARAMS, BEST REWARD: -0.04249941260342166, CURRENT REWARD: -0.04249941260342166
G:99, BEST PARAMS, BEST REWARD: -0.04249941260342166, CURRENT REWARD: -0.04249941260342166
G:100, BEST PARAMS, BEST REWARD: -0.04249941260342166, CURRENT REWARD: -0.04249941260342166
G:101, BEST PARAMS, BEST REWARD: -0.04249941260342166, CURRENT REWARD: -0.04249941260342166
G:102, BEST PARAMS, BEST REWARD: -0.04249941260342166, CURRENT REWARD: -0.04249941260342166
G:103, BEST PARAMS, BEST REWARD: -0.04249941260342166, CURRENT REWARD: -0.04249941260342166
G:104, BEST PARAMS, BEST REWARD: -0.04249941260342166, CURRENT REWARD: -0.04249941260342166
G:105, BEST PARAMS, BEST REWARD: -0.04249941260342166, CURRENT REWARD: -0.04249941260342166
G:106, BEST PARAMS, BEST REWARD: -0.04249941260342166, CURRENT REWARD: -0.04249941260342166
G:107, BEST PARAMS, BEST REWARD: -0.04249941260342166, CURRENT REWARD: -0.04249941260342166
G:108, BEST PARAMS, BEST REWARD: -0.04249941260342166, CURRENT REWARD: -0.04249941260342166
G:109, BEST PARAMS, BEST REWARD: -0.04249941260342166, CURRENT REWARD: -0.04249941260342166
G:110, BEST PARAMS, BEST REWARD: -0.04249941260342166, CURRENT REWARD: -0.04249941260342166
G:111, BEST PARAMS, BEST REWARD: -0.04249941260342166, CURRENT REWARD: -0.04249941260342166
G:112, BEST PARAMS, BEST REWARD: -0.04249941260342166, CURRENT REWARD: -0.04249941260342166
G:113, BEST PARAMS, BEST REWARD: -0.04249941260342166, CURRENT REWARD: -0.04249941260342166
G:114, BEST PARAMS, BEST REWARD: -0.042178962668650476, CURRENT REWARD: -0.042178962668650476
G:115, BEST PARAMS, BEST REWARD: -0.042178962668650476, CURRENT REWARD: -0.042178962668650476
G:116, BEST PARAMS, BEST REWARD: -0.042178962668650476, CURRENT REWARD: -0.042178962668650476
G:117, BEST PARAMS, BEST REWARD: -0.042178962668650476, CURRENT REWARD: -0.042178962668650476
