[[0. 0. 0. 1. 0. 0. 0.]
 [0. 0. 0. 1. 0. 0. 0.]
 [0. 0. 0. 1. 0. 0. 0.]
 [1. 1. 1. 1. 1. 1. 1.]
 [0. 0. 0. 1. 0. 0. 0.]
 [0. 0. 0. 1. 0. 0. 0.]
 [0. 0. 0. 1. 0. 0. 0.]]
(50_w,100)-aCMA-ES (mu_w=27.0,w_1=8%) in dimension 360 (seed=307851, Wed Sep 25 12:52:22 2024)
G:0, BEST PARAMS, BEST REWARD: -0.1452972328969708, CURRENT REWARD: -0.1452972328969708
G:1, BEST PARAMS, BEST REWARD: -0.14529674213653163, CURRENT REWARD: -0.14529674213653163
G:2, BEST PARAMS, BEST REWARD: -0.14529674213653163, CURRENT REWARD: -0.14529674213653163
G:3, BEST PARAMS, BEST REWARD: -0.14529674213653163, CURRENT REWARD: -0.14529674213653163
G:4, BEST PARAMS, BEST REWARD: -0.14493557470939772, CURRENT REWARD: -0.14493557470939772
G:5, BEST PARAMS, BEST REWARD: -0.14493557470939772, CURRENT REWARD: -0.14493557470939772
G:6, BEST PARAMS, BEST REWARD: -0.14493557470939772, CURRENT REWARD: -0.14493557470939772
G:7, BEST PARAMS, BEST REWARD: -0.14493557470939772, CURRENT REWARD: -0.14493557470939772
G:8, BEST PARAMS, BEST REWARD: -0.14493557470939772, CURRENT REWARD: -0.14493557470939772
G:9, BEST PARAMS, BEST REWARD: -0.12485222264523307, CURRENT REWARD: -0.12485222264523307
G:10, BEST PARAMS, BEST REWARD: -0.12485222264523307, CURRENT REWARD: -0.12485222264523307
G:11, BEST PARAMS, BEST REWARD: -0.12485222264523307, CURRENT REWARD: -0.12485222264523307
G:12, BEST PARAMS, BEST REWARD: -0.12485222264523307, CURRENT REWARD: -0.12485222264523307
G:13, BEST PARAMS, BEST REWARD: -0.12485222264523307, CURRENT REWARD: -0.12485222264523307
G:14, BEST PARAMS, BEST REWARD: -0.12485222264523307, CURRENT REWARD: -0.12485222264523307
G:15, BEST PARAMS, BEST REWARD: -0.12485222264523307, CURRENT REWARD: -0.12485222264523307
G:16, BEST PARAMS, BEST REWARD: -0.12485222264523307, CURRENT REWARD: -0.12485222264523307
G:17, BEST PARAMS, BEST REWARD: -0.12485222264523307, CURRENT REWARD: -0.12485222264523307
G:18, BEST PARAMS, BEST REWARD: -0.12485222264523307, CURRENT REWARD: -0.12485222264523307
G:19, BEST PARAMS, BEST REWARD: -0.12485222264523307, CURRENT REWARD: -0.12485222264523307
G:20, BEST PARAMS, BEST REWARD: -0.12485222264523307, CURRENT REWARD: -0.12485222264523307
