[[0. 0. 0. 1. 0. 0. 0.]
 [0. 0. 0. 1. 0. 0. 0.]
 [0. 0. 0. 1. 0. 0. 0.]
 [1. 1. 1. 1. 1. 1. 1.]
 [0. 0. 0. 1. 0. 0. 0.]
 [0. 0. 0. 1. 0. 0. 0.]
 [0. 0. 0. 1. 0. 0. 0.]]
(50_w,100)-aCMA-ES (mu_w=27.0,w_1=8%) in dimension 144 (seed=343585, Wed Sep 25 12:52:23 2024)
G:58, BEST PARAMS, BEST REWARD: -0.12447163444730798, CURRENT REWARD: -0.12447163444730798
G:59, BEST PARAMS, BEST REWARD: -0.12428905515246055, CURRENT REWARD: -0.12428905515246055
G:60, BEST PARAMS, BEST REWARD: -0.12426117176503397, CURRENT REWARD: -0.12426117176503397
G:61, BEST PARAMS, BEST REWARD: -0.12419057529202246, CURRENT REWARD: -0.12419057529202246
G:62, BEST PARAMS, BEST REWARD: -0.12419057529202246, CURRENT REWARD: -0.12419057529202246
G:63, BEST PARAMS, BEST REWARD: -0.12419057529202246, CURRENT REWARD: -0.12419057529202246
G:64, BEST PARAMS, BEST REWARD: -0.10396431356349592, CURRENT REWARD: -0.10396431356349592
G:65, BEST PARAMS, BEST REWARD: -0.10396431356349592, CURRENT REWARD: -0.10396431356349592
G:66, BEST PARAMS, BEST REWARD: -0.10396431356349592, CURRENT REWARD: -0.10396431356349592
G:67, BEST PARAMS, BEST REWARD: -0.10396431356349592, CURRENT REWARD: -0.10396431356349592
G:68, BEST PARAMS, BEST REWARD: -0.10384495877497527, CURRENT REWARD: -0.10384495877497527
G:69, BEST PARAMS, BEST REWARD: -0.10364740752468053, CURRENT REWARD: -0.10364740752468053
G:70, BEST PARAMS, BEST REWARD: -0.10364740752468053, CURRENT REWARD: -0.10364740752468053
G:71, BEST PARAMS, BEST REWARD: -0.10364729219948912, CURRENT REWARD: -0.10364729219948912
G:72, BEST PARAMS, BEST REWARD: -0.10364729219948912, CURRENT REWARD: -0.10364729219948912
G:73, BEST PARAMS, BEST REWARD: -0.10343147918501486, CURRENT REWARD: -0.10343147918501486
G:74, BEST PARAMS, BEST REWARD: -0.10343147918501486, CURRENT REWARD: -0.10343147918501486
G:75, BEST PARAMS, BEST REWARD: -0.10343147918501486, CURRENT REWARD: -0.10343147918501486
G:76, BEST PARAMS, BEST REWARD: -0.10343147918501486, CURRENT REWARD: -0.10343147918501486
G:77, BEST PARAMS, BEST REWARD: -0.10343147918501486, CURRENT REWARD: -0.10343147918501486
G:78, BEST PARAMS, BEST REWARD: -0.10343147918501486, CURRENT REWARD: -0.10343147918501486
G:79, BEST PARAMS, BEST REWARD: -0.10343147918501486, CURRENT REWARD: -0.10343147918501486
G:80, BEST PARAMS, BEST REWARD: -0.0835319182615768, CURRENT REWARD: -0.0835319182615768
G:81, BEST PARAMS, BEST REWARD: -0.0835319182615768, CURRENT REWARD: -0.0835319182615768
G:82, BEST PARAMS, BEST REWARD: -0.0835319182615768, CURRENT REWARD: -0.0835319182615768
G:83, BEST PARAMS, BEST REWARD: -0.0835319182615768, CURRENT REWARD: -0.0835319182615768
G:84, BEST PARAMS, BEST REWARD: -0.0835319182615768, CURRENT REWARD: -0.0835319182615768
G:85, BEST PARAMS, BEST REWARD: -0.08312351239191941, CURRENT REWARD: -0.08312351239191941
G:86, BEST PARAMS, BEST REWARD: -0.08306087349685123, CURRENT REWARD: -0.08306087349685123
G:87, BEST PARAMS, BEST REWARD: -0.08306087349685123, CURRENT REWARD: -0.08306087349685123
G:88, BEST PARAMS, BEST REWARD: -0.08306087349685123, CURRENT REWARD: -0.08306087349685123
G:89, BEST PARAMS, BEST REWARD: -0.08306087349685123, CURRENT REWARD: -0.08306087349685123
G:90, BEST PARAMS, BEST REWARD: -0.06260641723079804, CURRENT REWARD: -0.06260641723079804
G:91, BEST PARAMS, BEST REWARD: -0.06260641723079804, CURRENT REWARD: -0.06260641723079804
G:92, BEST PARAMS, BEST REWARD: -0.06260641723079804, CURRENT REWARD: -0.06260641723079804
G:93, BEST PARAMS, BEST REWARD: -0.06260641723079804, CURRENT REWARD: -0.06260641723079804
G:94, BEST PARAMS, BEST REWARD: -0.06260641723079804, CURRENT REWARD: -0.06260641723079804
G:95, BEST PARAMS, BEST REWARD: -0.06260641723079804, CURRENT REWARD: -0.06260641723079804
G:96, BEST PARAMS, BEST REWARD: -0.06260641723079804, CURRENT REWARD: -0.06260641723079804
G:97, BEST PARAMS, BEST REWARD: -0.06260641723079804, CURRENT REWARD: -0.06260641723079804
G:98, BEST PARAMS, BEST REWARD: -0.06260641723079804, CURRENT REWARD: -0.06260641723079804
G:99, BEST PARAMS, BEST REWARD: -0.06260641723079804, CURRENT REWARD: -0.06260641723079804
G:100, BEST PARAMS, BEST REWARD: -0.06260641723079804, CURRENT REWARD: -0.06260641723079804
G:101, BEST PARAMS, BEST REWARD: -0.06260641723079804, CURRENT REWARD: -0.06260641723079804
G:102, BEST PARAMS, BEST REWARD: -0.06260641723079804, CURRENT REWARD: -0.06260641723079804
G:103, BEST PARAMS, BEST REWARD: -0.06260641723079804, CURRENT REWARD: -0.06260641723079804
G:104, BEST PARAMS, BEST REWARD: -0.06252076331646922, CURRENT REWARD: -0.06252076331646922
G:105, BEST PARAMS, BEST REWARD: -0.06252076331646922, CURRENT REWARD: -0.06252076331646922
G:106, BEST PARAMS, BEST REWARD: -0.06252076331646922, CURRENT REWARD: -0.06252076331646922
G:107, BEST PARAMS, BEST REWARD: -0.06252076331646922, CURRENT REWARD: -0.06252076331646922
G:108, BEST PARAMS, BEST REWARD: -0.06252076331646922, CURRENT REWARD: -0.06252076331646922
G:109, BEST PARAMS, BEST REWARD: -0.06252076331646922, CURRENT REWARD: -0.06252076331646922
G:110, BEST PARAMS, BEST REWARD: -0.06252076331646922, CURRENT REWARD: -0.06252076331646922
G:111, BEST PARAMS, BEST REWARD: -0.06252076331646922, CURRENT REWARD: -0.06252076331646922
G:112, BEST PARAMS, BEST REWARD: -0.06252076331646922, CURRENT REWARD: -0.06252076331646922
G:113, BEST PARAMS, BEST REWARD: -0.06252076331646922, CURRENT REWARD: -0.06252076331646922
G:114, BEST PARAMS, BEST REWARD: -0.06252076331646922, CURRENT REWARD: -0.06252076331646922
G:115, BEST PARAMS, BEST REWARD: -0.06252076331646922, CURRENT REWARD: -0.06252076331646922
G:116, BEST PARAMS, BEST REWARD: -0.06252076331646922, CURRENT REWARD: -0.06252076331646922
G:117, BEST PARAMS, BEST REWARD: -0.06252076331646922, CURRENT REWARD: -0.06252076331646922
G:118, BEST PARAMS, BEST REWARD: -0.06252076331646922, CURRENT REWARD: -0.06252076331646922
G:119, BEST PARAMS, BEST REWARD: -0.06224148943533039, CURRENT REWARD: -0.06224148943533039
G:120, BEST PARAMS, BEST REWARD: -0.06224148943533039, CURRENT REWARD: -0.06224148943533039
G:121, BEST PARAMS, BEST REWARD: -0.06224148943533039, CURRENT REWARD: -0.06224148943533039
G:122, BEST PARAMS, BEST REWARD: -0.06224148943533039, CURRENT REWARD: -0.06224148943533039
G:123, BEST PARAMS, BEST REWARD: -0.06224148943533039, CURRENT REWARD: -0.06224148943533039
G:124, BEST PARAMS, BEST REWARD: -0.06224148943533039, CURRENT REWARD: -0.06224148943533039
G:125, BEST PARAMS, BEST REWARD: -0.06224148943533039, CURRENT REWARD: -0.06224148943533039
G:126, BEST PARAMS, BEST REWARD: -0.06224148943533039, CURRENT REWARD: -0.06224148943533039
G:127, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
G:128, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
G:129, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
G:130, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
G:131, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
G:132, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
G:133, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
G:134, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
G:135, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
G:136, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
G:137, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
G:138, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
G:139, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
G:140, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
G:141, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
G:142, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
G:143, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
G:144, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
G:145, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
G:146, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
G:147, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
G:148, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
